=== Table 1 ===
KENYA UNIVERSITIES AND COLLEGES CENTRAL PLACEMENT SERVICE |  |  |  | 
Minimum Subject Requirements for TVET Programmes |  |  |  | 
1 | Photogrammetry & Remote Sensing | Diploma | C - (minus) | ENG - C- (minus) MATH Alternatine A - C- (minus) PHY - C- (minus)
2 | Cartography | Diploma | C - (minus) | ENG - C- (minus) MATH Alternatine A - C- (minus) GEO - C- (minus)
3 | Map Reproduction (Printing) | Diploma | C - (minus) | ENG - C- (minus) MATH Alternatine A - C- (minus) CHE - C- (minus)
4 | Forestry | Certificate | D+ (plus) | MATH Alternative A - D+ BIO/PHY/CHE/AGRIC - C- (minus) BIO/PHY/CHE/AGRIC - C- (minus) ENG/KIS - C- (minus)
 |  |  |  | 
5 | Tax Administration | Diploma | C (plain) | ENG - C- (minus) MATH Alternative A - C- (minus)
 |  | Certificate | C- (minus) | ENG - D+ MATH Alternative A - D+
 | Custom Administration | Diploma | C (plain) | ENG - C- (minus) MATH Alternative A - C- (minus)
 |  | Certificate | C - (minus) | ENG - D+ MATH Alternative A - D+

=== Table 5 ===
 | Programme Category | Level | Minimum Mean Grade | Subjects Requirements
 |  |  |  | Minimum Subject Grade
6 | Agricultural Irrigation and Drainage Engineering | Diploma | C - (minus) | ENG / KIS   - D (plain) MAT A         - D (plain) PHY/CHE    - D (plain) BIO/GEO/HSC/AGR/BST -  C- (minus)
Note: Placement shall adhere to minimum requirements for programmes offered by TVET institutions that administer internal examinations as mandated by the Act of Parliament |  |  |  | 

